setting_1,setting_2,s_2,s_3,s_4,s_6,s_7,s_8,s_9,s_11,s_12,s_13,s_14,s_15,s_17,s_20,s_21,s_2_rolling_mean,s_3_rolling_mean,s_4_rolling_mean,s_6_rolling_mean,s_7_rolling_mean,s_8_rolling_mean,s_9_rolling_mean,s_11_rolling_mean,s_12_rolling_mean,s_13_rolling_mean,s_14_rolling_mean,s_15_rolling_mean,s_17_rolling_mean,s_20_rolling_mean,s_21_rolling_mean,s_2_rolling_std,s_3_rolling_std,s_4_rolling_std,s_6_rolling_std,s_7_rolling_std,s_8_rolling_std,s_9_rolling_std,s_11_rolling_std,s_12_rolling_std,s_13_rolling_std,s_14_rolling_std,s_15_rolling_std,s_17_rolling_std,s_20_rolling_std,s_21_rolling_std
-0.0003,-0.0004,642.51,1584.68,1393.79,21.61,554.1,2388.03,9057.06,47.53,521.88,2388.07,8139.3,8.4358,391,38.77,23.3335,642.418,1588.1380000000001,1399.704,21.61,554.0200000000001,2388.0480000000002,9057.018,47.45,521.796,2388.06,8140.2300000000005,8.42892,391.8,38.884,23.3585,0.28726294574826766,4.891791083028729,6.983718923324606,0.0,0.16186414056224183,0.04266145801561678,1.6128143104481978,0.21365860619221355,0.28710625210894686,0.014142135623855422,4.154383227387811,0.023341957929873668,1.3038404810405282,0.12320714265009601,0.03717667279356767
-0.0009,0.0004,642.85,1587.31,1407.41,21.61,553.25,2388.1,9059.26,47.48,522.0,2388.07,8133.49,8.4221,393,39.05,23.3104,642.488,1588.024,1400.75,21.61,553.826,2388.068,9057.412,47.402,521.868,2388.064,8139.848,8.424180000000002,392.2,38.916000000000004,23.357000000000003,0.3483819742753176,4.905928046761331,7.792153104245437,0.0,0.34260764731688026,0.037682887362873944,1.9092590185697946,0.1573848785620773,0.28331960751076907,0.01341640786490039,4.7540687836839925,0.021381230086222953,1.3038404810405282,0.14415269681833728,0.039314183191311414
0.0024,0.0002,642.53,1584.34,1402.22,21.61,554.34,2388.08,9060.25,47.4,522.19,2388.09,8142.63,8.409,393,38.92,23.2522,642.5260000000001,1586.372,1400.742,21.61,553.894,2388.07,9057.869999999999,47.456,521.8660000000001,2388.068,8140.152,8.426440000000001,392.4,38.93000000000001,23.32604,0.3384228124697927,4.337599566580596,7.790235554846961,0.0,0.41240756540102047,0.03807886552934388,2.3068484995754988,0.05128352561982299,0.28041041350146745,0.017888543819769676,4.9012620823620905,0.018250561635193462,1.341640786499874,0.13946325680980964,0.049681113111523824
0.0047,0.0001,641.7,1586.25,1400.29,21.61,553.66,2388.07,9059.35,47.5,521.86,2388.07,8138.7,8.4354,392,38.96,23.3628,642.3140000000001,1587.196,1402.4859999999999,21.61,553.826,2388.078,9058.045999999998,47.472,521.952,2388.068,8138.556,8.4311,392.6,38.903999999999996,23.32908,0.4639288738589012,3.6703038021395833,5.992122328524306,0.0,0.41854509912316856,0.031144823004860545,2.395919447726645,0.04969909455914382,0.1478850905266415,0.017888543819769676,3.272877938449907,0.016571059109181583,1.1401754250991445,0.11148990985734777,0.05175207242227122
-0.0024,0.0004,642.6,1585.05,1399.43,21.61,554.3,2388.09,9062.54,47.5,521.82,2388.04,8143.7,8.3921,393,38.8,23.4396,642.438,1585.526,1400.6280000000002,21.61,553.9300000000001,2388.0739999999996,9059.692000000001,47.482,521.95,2388.068,8139.564,8.418880000000001,392.4,38.9,23.3397,0.4342464737910737,1.2304186279476619,4.92030690099724,0.0,0.46615448083223343,0.02701851217227954,1.9782239509219868,0.049193495504981116,0.15000000000024477,0.017888543819769676,4.006760536892336,0.01860341366523892,0.8944271909999322,0.11554220008291191,0.06904129199254495
0.0015,-0.0001,642.65,1586.89,1407.62,21.61,553.43,2388.02,9060.57,47.29,521.6,2388.08,8141.15,8.4132,392,39.03,23.3926,642.4660000000001,1585.968,1403.394,21.61,553.796,2388.072,9060.394,47.434,521.894,2388.07,8139.933999999999,8.41436,392.6,38.952000000000005,23.35152,0.44444347222113645,1.2473652231806727,3.895950461697085,0.0,0.5001299831044344,0.031144823004924424,1.3259826544877815,0.09044335243675583,0.2190433747002405,0.018708286933540243,4.0613335248412765,0.01603256061894022,0.5477225575052057,0.09984988733092959,0.07267772698702027
0.0022,-0.0003,642.42,1588.44,1404.33,21.61,553.53,2388.1,9063.99,47.39,521.35,2388.06,8140.72,8.4988,392,38.96,23.3602,642.3799999999999,1586.194,1402.7779999999998,21.61,553.852,2388.072,9061.34,47.416,521.764,2388.068,8141.38,8.4297,392.4,38.934000000000005,23.36148,0.3898076448711283,1.6029753585132063,3.300162117229723,0.0,0.4351666347504441,0.031144823004924424,1.8843831882093813,0.0879204185613303,0.31309742892600445,0.019235384061432707,1.9115308001725997,0.04159867786360455,0.5477225575052057,0.08473488065725819,0.06895050398655439
0.0015,0.0002,642.92,1585.91,1402.04,21.61,553.51,2388.08,9056.16,47.4,521.8,2388.1,8136.02,8.4253,392,38.82,23.3846,642.458,1586.508,1402.742,21.61,553.6859999999999,2388.072,9060.522,47.416,521.6859999999999,2388.0699999999997,8140.058,8.43296,392.2,38.914,23.38796,0.46002173861674583,1.2677223670821187,3.3087414525765255,0.0,0.3530297437895261,0.031144823004924424,3.020855838996821,0.0879204185613303,0.2130258200314239,0.02236067977465005,2.874216414955264,0.040185606876093675,0.44721359550000084,0.09939818911831423,0.032027925315258166
-0.0015,0.0004,642.28,1586.1,1406.05,21.61,553.97,2388.1,9052.28,47.46,521.92,2388.08,8142.03,8.4189,393,38.97,23.2634,642.574,1586.478,1403.894,21.61,553.7479999999999,2388.0780000000004,9059.107999999998,47.408,521.698,2388.0719999999997,8140.724,8.429659999999998,392.4,38.916000000000004,23.36808,0.24306377763872897,1.2770943582994574,3.2436907990739403,0.0,0.3739251261951719,0.03346640106158397,4.823439644070609,0.07981227975693746,0.22653917983443186,0.02280350850157606,2.8666757751797762,0.0406103804463827,0.5477225575052057,0.10064790112068915,0.06520975387163852
-0.0001,-0.0,642.61,1589.05,1398.34,21.61,553.34,2388.02,9059.36,47.47,522.07,2388.1,8138.99,8.4218,393,38.82,23.3809,642.576,1587.2779999999998,1403.676,21.61,553.5559999999999,2388.064,9058.472,47.402,521.748,2388.084,8139.781999999999,8.435599999999999,392.4,38.92,23.35634,0.24337214302382734,1.4053362586940363,3.632083424151746,0.0,0.24326939799360273,0.04098780306378031,4.453220183191963,0.07190271204898775,0.2811938832906154,0.016733200529501672,2.37616708166681,0.03560695156847784,0.5477225575052057,0.09513148795220033,0.05331358175924527
0.001,-0.0003,642.77,1589.51,1409.38,21.61,554.03,2388.08,9066.93,47.45,521.91,2388.04,8141.85,8.4205,392,38.89,23.4212,642.6,1587.8020000000001,1404.0279999999998,21.61,553.676,2388.076,9059.744,47.434000000000005,521.8100000000001,2388.076,8139.9220000000005,8.437059999999999,392.4,38.891999999999996,23.36206,0.25797286679031733,1.6851023707775772,4.157194967763451,0.0,0.3055814130475098,0.03286335345047899,5.881558466936566,0.03646916505761554,0.2744995446263021,0.02607680962039269,2.494588142359041,0.03459411799713821,0.5477225575052057,0.07259476565152768,0.059367061574577384
0.0004,0.0,642.39,1584.29,1406.28,21.61,554.45,2388.07,9066.82,47.61,521.78,2388.06,8140.02,8.4076,393,39.02,23.2729,642.5939999999999,1586.972,1404.4180000000001,21.61,553.86,2388.07,9060.310000000001,47.478,521.896,2388.076,8139.782000000001,8.41882,392.6,38.904,23.344599999999996,0.2634957305157193,2.2271551360424247,4.282198033720203,0.0,0.44215381938874765,0.0300000000001224,6.4963528229301595,0.07854934754662284,0.11588787684673113,0.02607680962039269,2.45798087868834,0.006700522367688722,0.5477225575052057,0.08961026726887973,0.07162328531978707
0.0027,0.0004,642.99,1582.68,1402.37,21.61,554.55,2388.09,9061.19,47.38,522.2,2388.06,8141.0,8.422,394,38.92,23.3634,642.608,1586.326,1404.484,21.61,554.068,2388.072,9061.316,47.474000000000004,521.976,2388.068,8140.778,8.41816,393.0,38.924,23.340359999999997,0.286041954964692,2.9600557427183816,4.2387061705191575,0.0,0.4793954526275276,0.031144823004970047,6.068404238347435,0.08384509526501811,0.16195678435937944,0.022803508501915076,1.2784248120266826,0.006031832225774775,0.7071067811865751,0.07635443667528148,0.0692515920394588
-0.0028,-0.0002,642.07,1591.26,1401.57,21.61,554.17,2388.04,9064.46,47.44,521.74,2388.1,8135.76,8.4501,392,38.91,23.4123,642.566,1587.358,1403.588,21.61,554.108,2388.06,9063.752,47.47,521.9399999999999,2388.072,8139.524,8.4244,392.8,38.912,23.37014,0.3536665095821118,3.6747748230333324,4.298007677982723,0.0,0.47751439768862913,0.0291547594742575,3.3862619508821554,0.0851469318296315,0.19429359227734216,0.026832815729803953,2.360493592449353,0.01557610349220651,0.8366600265341007,0.07190271204898883,0.05916378115029173
0.0038,0.0003,642.61,1593.16,1404.99,21.61,553.27,2388.11,9053.71,47.36,521.9,2388.04,8139.7,8.4123,393,38.85,23.2724,642.566,1588.1799999999998,1404.9180000000001,21.61,554.0939999999999,2388.078,9062.622,47.448,521.906,2388.06,8139.666,8.4225,392.8,38.918,23.34844,0.3536665095821118,4.512144722856281,3.1413006860211237,0.0,0.5058458263146584,0.025884358211635903,5.50078812535042,0.09833615815151402,0.1802220852171946,0.024494897427935203,2.3416190979737888,0.016523165556270484,0.8366600265341007,0.0630079360080908,0.07260215561537772
-0.0004,0.0005,642.16,1590.84,1405.96,21.61,554.26,2388.0,9055.5,47.47,521.8,2388.07,8138.27,8.3907,392,38.76,23.2123,642.4440000000001,1588.4460000000001,1404.234,21.61,554.14,2388.0620000000004,9060.336,47.452000000000005,521.884,2388.066,8138.95,8.416540000000001,392.8,38.891999999999996,23.30666,0.37051315766105625,4.647330416486392,2.1393994484427497,0.0,0.5090186637049132,0.043243496620971426,5.6362602849752825,0.09884331034521074,0.1862256695518594,0.02190890230018715,2.0339862339722097,0.021918553784406016,0.8366600265341007,0.0957601169589954,0.0799945810664674
0.002,-0.0004,642.5,1578.34,1408.77,21.61,553.67,2388.05,9058.29,47.35,521.99,2388.01,8138.22,8.4337,392,38.82,23.3601,642.466,1587.256,1404.732,21.61,553.984,2388.058,9058.630000000001,47.4,521.926,2388.0559999999996,8138.590000000001,8.42176,392.6,38.852,23.3241,0.3697701989073438,6.406424900051519,2.8921134140964404,0.0,0.5097842680977962,0.04324349662090044,4.320341421692219,0.05244044240849248,0.18049930747798526,0.033615472627861354,1.9550191814876852,0.022360635053591364,0.8944271909999421,0.06610597552416354,0.08029922166496736
-0.0016,0.0004,642.53,1583.87,1406.71,21.61,553.95,2388.09,9060.72,47.41,521.77,2388.04,8144.12,8.4335,394,38.9,23.267,642.374,1587.494,1405.6,21.61,553.8639999999999,2388.058,9058.536,47.406,521.8399999999999,2388.052,8139.214,8.42406,392.6,38.848,23.30482,0.24192974186717423,6.2131135511915865,2.646866071412632,0.0,0.4025916044828422,0.04324349662090044,4.255341349408728,0.0512835256198185,0.10319883720292948,0.034205262752924195,3.0868398079573613,0.022974507611696404,0.8944271909999421,0.061400325732045444,0.08007681936740306
0.0024,0.0001,642.41,1594.42,1407.73,21.61,553.51,2388.07,9062.64,47.46,521.72,2388.1,8139.63,8.3885,394,38.81,23.3384,642.442,1588.1259999999997,1406.8319999999999,21.61,553.732,2388.0640000000003,9058.172,47.410000000000004,521.836,2388.052,8139.988,8.41174,393.0,38.827999999999996,23.290039999999998,0.17311845655493796,6.822769232503794,1.477369283555528,0.0,0.3849935064388948,0.04219004621954827,3.6578094537564656,0.055226805085923966,0.10830512453265993,0.034205262752924195,2.4167064364538615,0.022016085028903006,1.0000000000000213,0.05167204273107535,0.0594403314257238
-0.0009,0.0004,642.74,1585.0,1410.4,21.61,553.6,2388.0,9054.67,47.5,521.43,2388.06,8144.03,8.4125,391,39.0,23.3942,642.468,1586.494,1407.9140000000002,21.61,553.798,2388.0420000000004,9058.364,47.438,521.742,2388.056,8140.854000000001,8.411779999999998,392.6,38.858,23.3144,0.21040437257807162,6.271250274068245,1.7474638765914188,0.0,0.3062188759696201,0.04086563348335959,3.379664184499078,0.058906705900081055,0.20216330032935476,0.033615472627861354,2.9944498660028147,0.022017538463685874,1.341640786499894,0.09391485505499535,0.07366087835479397
0.001,-0.0001,642.51,1585.28,1401.84,21.61,553.11,2388.08,9063.56,47.37,522.03,2388.1,8139.91,8.3758,393,38.84,23.2756,642.538,1585.382,1407.0900000000001,21.61,553.568,2388.058,9059.976,47.41799999999999,521.7879999999999,2388.062,8141.181999999999,8.408800000000001,392.8,38.874,23.32706,0.12194260945211577,5.78181805317339,3.236317351557701,0.0,0.3043353413590906,0.03563705936241121,3.5878865645362996,0.06220932405997504,0.24108089928497373,0.038987177379158355,2.71767731712352,0.02619580119026498,1.3038404810405486,0.07861297602813343,0.05473424887581436
-0.0005,0.0003,642.73,1584.27,1403.55,21.61,553.38,2388.07,9056.62,47.35,521.59,2388.07,8143.52,8.4378,393,38.82,23.264,642.5840000000001,1586.5679999999998,1406.0459999999998,21.61,553.51,2388.0620000000004,9059.642,47.418,521.708,2388.0739999999996,8142.242,8.40962,393.0,38.874,23.30784,0.14518953130305573,4.42525366504571,3.3968558992095947,0.0,0.3076524012585826,0.03563705936243992,3.852079957630829,0.06220932405997504,0.22297981971479938,0.026076809620885336,2.2703457886450997,0.02721446306653663,1.2247448713916078,0.07861297602813343,0.05705530650167204
-0.0009,-0.0001,642.42,1588.36,1401.28,21.61,554.01,2388.08,9061.89,47.51,522.1,2388.1,8140.6,8.4665,393,39.02,23.2309,642.5620000000001,1587.466,1404.9599999999998,21.61,553.522,2388.0600000000004,9059.876,47.438,521.774,2388.0860000000002,8141.5380000000005,8.41622,392.8,38.898,23.300620000000002,0.16269603560014662,4.190212405117406,3.953839905711453,0.0,0.32949962063735994,0.03391164991559801,3.9677361303369185,0.07395944834839216,0.28588459209976474,0.01949358868969254,2.0802091241056355,0.03677563051804669,1.095445115010353,0.10305338422390155,0.06521588763483811
-0.0019,0.0001,642.51,1597.07,1408.95,21.61,553.54,2388.11,9057.94,47.35,522.16,2388.05,8141.97,8.4108,392,38.76,23.3034,642.582,1587.9959999999999,1405.2040000000002,21.61,553.528,2388.068,9058.936,47.416,521.862,2388.076,8142.005999999999,8.420679999999999,392.4,38.888,23.29362,0.14446452851825137,5.308147511137863,4.197645768760892,0.0,0.3294996206373582,0.040865633483454865,3.6966917642648385,0.08173126696680391,0.3294996206371799,0.023021728866264125,1.7860655083216503,0.03380572436733017,0.8944271909999421,0.11541230437002749,0.06194321593201205
-0.0032,0.0002,643.02,1588.06,1407.91,21.61,553.24,2388.1,9067.78,47.18,522.11,2388.07,8138.21,8.4271,392,39.03,23.4179,642.638,1588.6079999999997,1404.706,21.61,553.456,2388.0879999999997,9061.558,47.352,521.9979999999999,2388.078,8140.8420000000015,8.4236,392.6,38.894000000000005,23.29836,0.24221890925357292,5.04631251509446,3.5201178957524437,0.0,0.34861153165115166,0.016431676725702178,4.480660665568476,0.11713240371477286,0.23274449510145964,0.021679483388507444,2.0185811848938937,0.03355212362876455,0.5477225575052219,0.12320714265009002,0.07170197347353612
-0.0019,-0.0001,642.21,1584.92,1397.61,21.61,553.39,2388.04,9055.85,47.45,521.28,2388.08,8140.79,8.4149,393,38.82,23.3288,642.578,1588.5359999999998,1403.8600000000001,21.61,553.512,2388.08,9060.016,47.367999999999995,521.8480000000001,2388.0739999999996,8141.017999999999,8.43142,392.6,38.89,23.309,0.3096288100290339,5.107859630021065,4.693761817561443,0.0,0.2979429475590332,0.027386127875545774,4.924167950017533,0.1253794241492612,0.393281069974181,0.018165902124257602,1.954346438073082,0.022293878083453653,0.5477225575052219,0.12569805089976527,0.07142692069520856
0.0012,0.0005,642.26,1582.85,1403.25,21.61,553.82,2388.09,9056.71,47.39,521.44,2388.09,8139.11,8.4304,392,38.89,23.4186,642.484,1588.252,1403.8,21.61,553.6,2388.084,9060.034,47.376,521.818,2388.078,8140.136,8.42994,392.4,38.903999999999996,23.33992,0.323001547983921,5.433449180769025,4.7006276176695545,0.0,0.31376742979500016,0.027018512172541462,4.908791093536474,0.1252198067399891,0.42251627187604096,0.019235384061522837,1.4806012292315927,0.022008248453702563,0.5477225575052219,0.11970797801316016,0.08002210319655044
-0.001,0.0002,642.2,1588.38,1408.43,21.61,554.02,2388.03,9062.48,47.46,521.77,2388.08,8147.21,8.387,391,38.77,23.2774,642.4399999999999,1588.2559999999999,1405.23,21.61,553.6020000000001,2388.074,9060.152,47.366,521.752,2388.0739999999996,8141.4580000000005,8.41404,392.0,38.854,23.34922,0.34792240514230316,5.433555925910729,4.828188065930768,0.0,0.31704889212887866,0.036469165057815334,4.9712543688673145,0.11326958991715515,0.39213518077318693,0.015165750887767592,3.530456061192756,0.0171800174621534,0.7071067811865878,0.11104053313993834,0.0655840834349249
0.0,-0.0004,642.73,1593.42,1405.7,21.61,553.65,2388.07,9054.04,47.45,521.86,2388.08,8139.46,8.4145,390,38.87,23.2507,642.484,1587.526,1404.58,21.61,553.624,2388.066,9059.372,47.386,521.692,2388.0800000000004,8140.956,8.41478,391.6,38.876,23.33868,0.37206182281979944,4.012789553415576,4.402147203353947,0.0,0.3154837555249785,0.03049590136416466,5.662929453911859,0.11844830095869012,0.33252067604890495,0.0070710678117478385,3.6168466929093066,0.017084993415272254,1.1401754250991678,0.09787747442593983,0.07787224794494747
-0.0015,-0.0,642.12,1587.75,1407.5,21.61,554.25,2388.09,9061.02,47.41,521.98,2388.06,8144.17,8.4251,393,38.89,23.4337,642.304,1587.4640000000002,1404.498,21.61,553.826,2388.064,9058.02,47.432,521.666,2388.0780000000004,8142.147999999999,8.41438,391.8,38.848,23.341839999999998,0.24337214302391244,4.004863293547146,4.327801982530722,0.0,0.33110421320202965,0.027928480087854413,3.5762060902559094,0.03033150177621072,0.2945844530860837,0.010954451150003415,3.46450862316973,0.016744461770982856,1.3038404810405553,0.05215361924163765,0.0820966077252856
-0.0016,0.0005,642.73,1577.3,1401.96,21.61,553.5,2388.07,9065.77,47.32,522.36,2388.08,8144.56,8.4485,395,38.9,23.3789,642.408,1585.94,1405.368,21.61,553.848,2388.07,9060.003999999999,47.40599999999999,521.882,2388.0780000000004,8142.902,8.4211,392.2,38.864,23.35186,0.2981107176872897,6.111010554728458,2.7446256575341756,0.0,0.29676590100639105,0.024494897428060127,4.659112576444526,0.055946402922799815,0.3340957946458688,0.010954451150003415,3.5050777452180513,0.022691518239199154,1.9235384061671554,0.05366563146000574,0.0831576995833779
0.0017,-0.0002,642.78,1584.88,1405.84,21.61,553.66,2388.01,9051.69,47.45,521.34,2388.04,8142.48,8.4382,393,39.07,23.3364,642.512,1586.346,1405.886,21.61,553.816,2388.054,9059.0,47.418,521.862,2388.0679999999998,8143.575999999999,8.422659999999999,392.4,38.9,23.33542,0.32321819255727047,5.918807312288691,2.476243122149735,0.0,0.3089174647056074,0.03286335345066926,5.917376952669518,0.0580517010948032,0.3684019543922907,0.017888543819526585,2.8578715856432195,0.023734847798119806,1.9493588689618149,0.10816653826391975,0.07432063643430067
0.0033,0.0005,642.43,1592.31,1406.97,21.61,554.19,2388.02,9059.47,47.42,522.06,2388.05,8138.8,8.4336,394,38.76,23.3002,642.558,1587.132,1405.594,21.61,553.85,2388.052,9058.398000000001,47.410000000000004,521.92,2388.062,8141.894,8.43198,393.0,38.898,23.33998,0.28137164036196194,6.489843603662666,2.1681743472318513,0.0,0.344310906013935,0.034928498393499895,5.6204955297542565,0.05338539126015989,0.3730951621236296,0.017888543819231065,2.651806931135012,0.012914216972002164,1.8708286933869964,0.11122050170719726,0.07047053994400362
0.0012,-0.0004,642.61,1590.24,1410.33,21.61,553.53,2388.07,9059.49,47.55,521.54,2388.08,8134.82,8.4293,393,38.92,23.298,642.534,1586.4959999999999,1406.52,21.61,553.826,2388.052,9059.488000000001,47.43,521.856,2388.062,8140.966,8.434940000000001,393.6,38.908,23.34944,0.26782456944796096,5.843169516623784,3.038708607285688,0.0,0.3652807139723471,0.034928498393499895,5.065068607628395,0.0827647267862373,0.41143650786003555,0.017888543819231065,4.121271648412802,0.009012935148993243,0.8944271909999719,0.11031772296417382,0.057463753793145944
-0.0034,-0.0004,643.1,1579.46,1399.31,21.61,554.3,2388.06,9054.87,47.47,521.66,2388.08,8140.54,8.4351,393,38.94,23.2756,642.73,1584.838,1404.882,21.61,553.836,2388.046,9058.257999999998,47.442,521.792,2388.066,8140.240000000001,8.43694,393.6,38.918,23.31782,0.24688053791243117,6.533729409763029,4.31692830609862,0.0,0.38017101415038734,0.0288097205821867,5.339337037497237,0.08348652585897139,0.4122135368957043,0.019493588689072888,3.715508040632779,0.0072133903263281555,0.8944271909999719,0.11054410884348259,0.04050249375037954
0.0028,0.0005,642.6,1590.02,1402.95,21.61,553.33,2388.02,9060.75,47.28,521.91,2388.12,8141.52,8.4093,394,38.91,23.2944,642.704,1587.382,1405.08,21.61,553.802,2388.036,9057.254,47.434,521.702,2388.0739999999996,8139.6320000000005,8.4291,393.4,38.92,23.30092,0.2536335939893128,5.206497863247486,4.169592306208733,0.0,0.4229302542974859,0.027018512172586703,3.8332075341671543,0.09864076236526326,0.2874369496081955,0.03130495168488536,3.0144518573039334,0.011523237392327362,0.5477225575052705,0.11022703842524134,0.022087824700491327
